,fecha,valordemanda,Año,Mes,Dia,DiaSemana
265,2011-09-23,760209.53,2011,9,23,5
266,2011-09-24,661343.42,2011,9,24,6
267,2011-09-25,598798.88,2011,9,25,7
268,2011-09-26,738822.04,2011,9,26,1
269,2011-09-27,764566.99,2011,9,27,2
270,2011-09-28,762051.15,2011,9,28,3
271,2011-09-29,758394.8,2011,9,29,4
272,2011-09-30,754459.01,2011,9,30,5
273,2011-10-01,667200.37,2011,10,1,6
274,2011-10-02,604185.17,2011,10,2,7
275,2011-10-03,737874.44,2011,10,3,1
276,2011-10-04,753877.1,2011,10,4,2
277,2011-10-05,761403.35,2011,10,5,3
278,2011-10-06,764644.59,2011,10,6,4
279,2011-10-07,747101.67,2011,10,7,5
280,2011-10-08,651597.35,2011,10,8,6
281,2011-10-09,589849.27,2011,10,9,7
282,2011-10-10,718306.68,2011,10,10,1
283,2011-10-11,734623.25,2011,10,11,2
284,2011-10-12,622928.0,2011,10,12,3
285,2011-10-13,726890.39,2011,10,13,4
286,2011-10-14,733211.9,2011,10,14,5
287,2011-10-15,650647.39,2011,10,15,6
288,2011-10-16,590232.65,2011,10,16,7
289,2011-10-17,720502.95,2011,10,17,1
290,2011-10-18,735451.59,2011,10,18,2
291,2011-10-19,740239.18,2011,10,19,3
292,2011-10-20,738404.28,2011,10,20,4
293,2011-10-21,734558.89,2011,10,21,5
294,2011-10-22,649389.34,2011,10,22,6
295,2011-10-23,592643.67,2011,10,23,7
296,2011-10-24,713766.14,2011,10,24,1
297,2011-10-25,718080.73,2011,10,25,2
298,2011-10-26,741963.02,2011,10,26,3
299,2011-10-27,746929.36,2011,10,27,4
300,2011-10-28,736809.02,2011,10,28,5
301,2011-10-29,655680.96,2011,10,29,6
302,2011-10-30,616986.15,2011,10,30,7
303,2011-10-31,658207.07,2011,10,31,1
304,2011-11-01,598623.86,2011,11,1,2
305,2011-11-02,722121.65,2011,11,2,3
306,2011-11-03,740742.98,2011,11,3,4
307,2011-11-04,742888.5,2011,11,4,5
308,2011-11-05,664670.92,2011,11,5,6
309,2011-11-06,614241.71,2011,11,6,7
310,2011-11-07,740385.67,2011,11,7,1
311,2011-11-08,757268.75,2011,11,8,2
312,2011-11-09,751952.77,2011,11,9,3
313,2011-11-10,756087.98,2011,11,10,4
314,2011-11-11,746869.95,2011,11,11,5
315,2011-11-12,659935.97,2011,11,12,6
316,2011-11-13,605595.34,2011,11,13,7
317,2011-11-14,741198.42,2011,11,14,1
318,2011-11-15,758441.22,2011,11,15,2
319,2011-11-16,760641.42,2011,11,16,3
320,2011-11-17,764010.5,2011,11,17,4
321,2011-11-18,762074.39,2011,11,18,5
322,2011-11-19,681318.66,2011,11,19,6
323,2011-11-20,619468.28,2011,11,20,7
324,2011-11-21,749036.03,2011,11,21,1
325,2011-11-22,773462.42,2011,11,22,2
326,2011-11-23,769346.22,2011,11,23,3
327,2011-11-24,770714.13,2011,11,24,4
328,2011-11-25,766096.5,2011,11,25,5
329,2011-11-26,686003.14,2011,11,26,6
330,2011-11-27,639886.84,2011,11,27,7
331,2011-11-28,783441.89,2011,11,28,1
332,2011-11-29,799132.68,2011,11,29,2
333,2011-11-30,799016.22,2011,11,30,3
334,2011-12-01,795570.59,2011,12,1,4
335,2011-12-02,793076.03,2011,12,2,5
336,2011-12-03,711729.03,2011,12,3,6
337,2011-12-04,653940.62,2011,12,4,7
338,2011-12-05,748870.29,2011,12,5,1
339,2011-12-06,685607.25,2011,12,6,2
340,2011-12-07,750773.2,2011,12,7,3
341,2011-12-08,675305.78,2011,12,8,4
342,2011-12-09,743007.03,2011,12,9,5
343,2011-12-10,710065.6,2011,12,10,6
344,2011-12-11,673357.73,2011,12,11,7
345,2011-12-12,801893.41,2011,12,12,1
346,2011-12-13,816256.62,2011,12,13,2
347,2011-12-14,809414.26,2011,12,14,3
348,2011-12-15,810847.09,2011,12,15,4
349,2011-12-16,813602.06,2011,12,16,5
350,2011-12-17,725008.79,2011,12,17,6
351,2011-12-18,686693.38,2011,12,18,7
352,2011-12-19,824403.93,2011,12,19,1
353,2011-12-20,837406.08,2011,12,20,2
